Seed,Coupling,MaxMaxEnergyEffectPercent,FinalCycle,FinalPopulation,MinimumPopulation,MinimumPopulationCycle,MaximumPopulation,MaximumPopulationCycle,LongestNoBirthStreak,FinalBirths,FinalDeaths,FinalAverageGeneration,FinalSpeciesCount,VallePopulation,BosquePopulation,LlanuraPopulation,ValleLocalExtinctionEpisodes,ValleRecolonizations,ValleLongestEmptyPeriod,ValleEmptyAtEnd,BosqueLocalExtinctionEpisodes,BosqueRecolonizations,BosqueLongestEmptyPeriod,BosqueEmptyAtEnd,LlanuraLocalExtinctionEpisodes,LlanuraRecolonizations,LlanuraLongestEmptyPeriod,LlanuraEmptyAtEnd,FinalLivingBodySizeModifier,MeanEffectiveParentBodySizeModifier,FinalLivingEnergyCapacityMultiplier,MeanEffectiveParentEnergyCapacityMultiplier,FinalLivingGeneticSize,FinalLivingBaseMaxEnergy,FinalLivingMaxEnergy,FinalLlanuraBodySizeModifier,FinalLlanuraEnergyCapacityMultiplier,FinalLlanuraGeneticSize,FinalLlanuraMaxEnergy,ValleBosqueMateAcceptance,ValleLlanuraMateAcceptance,BosqueLlanuraMateAcceptance
98773,0.0312,0.250,1006,0,0,1006,14505,960,42,0,1,0.000,0,0,0,0,2,1,3,True,1,0,1,True,5,4,148,True,0.000000,0.000073,1.000000,1.000002,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,,,
98774,0.0312,0.250,1600,6339,53,893,14958,852,25,261,303,119.303,2,1821,2766,1752,0,0,0,False,0,0,0,False,4,4,63,False,0.000156,-0.000083,1.000005,0.999997,1.529712,187.079852,187.080765,-0.000318,0.999990,1.541609,187.910744,0.545922,0.666623,0.174399
98765,0.0625,0.500,1600,2555,6,1372,14767,1570,35,0,322,125.714,1,1314,1241,0,2,2,23,False,0,0,0,False,9,8,191,True,-0.000073,0.000175,0.999995,1.000011,1.437162,180.601338,180.600513,0.000000,1.000000,0.000000,0.000000,0.995742,,
98766,0.0625,0.500,1600,1843,26,919,16397,1512,30,100,37,121.383,2,234,732,877,0,0,0,False,0,0,0,False,5,5,90,False,0.002850,0.000984,1.000178,1.000061,1.488284,184.179896,184.212752,0.004146,1.000259,1.496398,184.795699,0.998743,0.239495,0.243327
98767,0.0625,0.500,1600,4235,16,555,15184,778,28,58,259,120.466,1,2328,1869,38,0,0,0,False,0,0,0,False,8,8,135,False,-0.000252,-0.000029,0.999984,0.999998,1.499435,184.960417,184.957505,-0.000758,0.999953,1.498088,184.857219,0.993861,0.971294,0.958160
98768,0.0625,0.500,1600,3902,165,550,15234,1487,23,188,117,121.443,2,414,2441,1047,0,0,0,False,0,0,0,False,1,1,29,False,0.000608,0.000155,1.000038,1.000010,1.505775,185.404247,185.411275,0.000187,1.000012,1.554599,188.824125,0.867984,0.561157,0.279385
98769,0.0625,0.500,1600,4327,19,925,16419,1573,32,33,332,119.498,1,1312,1739,1276,1,1,62,False,1,1,16,False,4,4,97,False,-0.000103,0.000137,0.999994,1.000009,1.500250,185.017486,185.016295,-0.000001,1.000000,1.528597,187.001786,0.924524,0.738323,0.524191
98770,0.0625,0.500,1600,418,26,1163,16283,1551,28,16,0,117.038,1,2,10,406,0,0,0,False,0,0,0,False,2,2,75,False,-0.000075,0.000070,0.999995,1.000004,1.451194,181.583593,181.582738,-0.000117,0.999993,1.450319,181.521019,0.625493,0.970021,0.479029
98771,0.0625,0.500,1600,11497,261,547,14727,1448,27,39,532,120.889,2,3207,6542,1748,0,0,0,False,0,0,0,False,4,4,83,False,-0.000677,-0.000158,0.999958,0.999990,1.475601,183.292099,183.284385,0.000259,1.000016,1.514089,185.989271,0.993369,0.337620,0.284908
98772,0.0625,0.500,1600,8024,37,1427,14058,1059,31,0,585,119.678,1,2786,5166,72,2,2,16,False,0,0,0,False,7,7,107,False,0.000507,0.000029,1.000032,1.000002,1.493430,184.540115,184.545981,0.000132,1.000008,1.503187,185.224628,0.989806,0.997463,0.995126
98773,0.0625,0.500,1600,5647,18,550,14322,1578,36,0,325,124.855,1,3181,2310,156,1,1,82,False,1,1,22,False,8,8,133,False,0.000055,0.000001,1.000003,1.000000,1.443215,181.025039,181.025662,-0.000378,0.999976,1.443310,181.027375,0.996835,0.991988,0.980839
98774,0.0625,0.500,1600,9420,6,556,14191,508,38,396,69,121.077,1,4845,4575,0,1,1,8,False,0,0,0,False,10,9,176,True,-0.003107,-0.000139,0.999806,0.999991,1.468613,182.802911,182.767415,0.000000,1.000000,0.000000,0.000000,0.997987,,
