Seed,Coupling,MaxPlantEnergyEffectPercent,FinalCycle,FinalPopulation,MinimumPopulation,MinimumPopulationCycle,MaximumPopulation,MaximumPopulationCycle,LongestNoBirthStreak,FinalBirths,FinalDeaths,FinalAverageGeneration,FinalSpeciesCount,VallePopulation,BosquePopulation,LlanuraPopulation,ValleLocalExtinctionEpisodes,ValleRecolonizations,ValleLongestEmptyPeriod,ValleEmptyAtEnd,BosqueLocalExtinctionEpisodes,BosqueRecolonizations,BosqueLongestEmptyPeriod,BosqueEmptyAtEnd,LlanuraLocalExtinctionEpisodes,LlanuraRecolonizations,LlanuraLongestEmptyPeriod,LlanuraEmptyAtEnd,FinalLivingFeedingModifier,MeanEffectiveParentFeedingModifier,FinalLivingPlantEnergyMultiplier,MeanEffectiveParentPlantEnergyMultiplier,FinalLivingPlantDigestionEfficiency,FinalLivingEffectivePlantEnergyAssimilation,FinalLlanuraFeedingModifier,FinalLlanuraPlantEnergyMultiplier,FinalLlanuraPlantDigestionEfficiency,FinalLlanuraEffectivePlantEnergyAssimilation,ValleBosqueMateAcceptance,ValleLlanuraMateAcceptance,BosqueLlanuraMateAcceptance
98774,0.1250,1.000,1600,1145,9,556,14651,1307,35,85,6,122.220,1,36,1109,0,1,1,7,False,0,0,0,False,10,9,157,True,0.000665,0.000659,1.000083,1.000082,0.995056,0.995139,0.000000,1.000000,0.000000,0.000000,0.996364,,
98765,0.2500,2.000,1600,11189,288,1139,16021,1096,27,139,256,120.434,2,5786,4303,1100,0,0,0,False,0,0,0,False,3,3,78,False,0.001192,0.000900,1.000298,1.000225,0.968908,0.969196,0.001641,1.000410,0.997455,0.997864,0.963837,0.299232,0.196987
98766,0.2500,2.000,1600,5950,56,1124,14445,1254,26,98,176,121.205,1,2671,3245,34,0,0,0,False,0,0,0,False,7,7,111,False,0.001299,0.000371,1.000325,1.000093,0.995481,0.995804,0.002049,1.000512,0.998152,0.998663,0.999378,0.962592,0.954959
98767,0.2500,2.000,1600,1561,72,552,14289,1217,16,66,228,117.491,1,886,674,1,0,0,0,False,0,0,0,False,11,11,120,False,-0.000151,-0.000146,0.999962,0.999963,0.900821,0.900789,0.000000,1.000000,0.998216,0.998216,0.654092,0.445182,0.837483
98768,0.2500,2.000,1600,3161,52,553,15237,1512,21,187,20,122.804,2,99,2668,394,0,0,0,False,0,0,0,False,2,2,112,False,0.001423,0.000165,1.000356,1.000041,0.995142,0.995497,0.001596,1.000399,0.998066,0.998464,0.973835,0.259030,0.170992
98769,0.2500,2.000,1600,2992,38,1498,15725,1453,33,148,20,121.110,1,1366,1626,0,0,0,0,False,0,0,0,False,7,6,115,True,0.002183,0.000027,1.000546,1.000007,0.996692,0.997236,0.000000,1.000000,0.000000,0.000000,0.991881,,
98770,0.2500,2.000,1600,8931,111,895,16613,1333,25,438,81,117.489,2,2989,4635,1307,0,0,0,False,0,0,0,False,2,2,66,False,0.000272,-0.000012,1.000068,0.999997,0.964787,0.964852,0.000053,1.000013,0.997993,0.998007,0.691162,0.455031,0.123404
98771,0.2500,2.000,1600,3964,86,550,13757,504,34,192,62,127.423,1,56,3908,0,0,0,0,False,0,0,0,False,11,10,107,True,0.002368,0.000741,1.000592,1.000185,0.994216,0.994804,0.000000,1.000000,0.000000,0.000000,0.993480,,
98772,0.2500,2.000,1600,5827,50,554,13961,507,34,321,22,125.961,1,656,5171,0,0,0,0,False,0,0,0,False,10,9,79,True,0.001314,0.000504,1.000328,1.000126,0.994646,0.994973,0.000000,1.000000,0.000000,0.000000,0.989662,,
98773,0.2500,2.000,1600,2320,133,687,16168,1372,32,87,51,118.897,1,289,565,1466,0,0,0,False,0,0,0,False,2,2,94,False,0.007002,0.001452,1.001751,1.000363,0.996418,0.998163,0.007133,1.001783,0.997078,0.998856,0.964515,0.990023,0.951677
98774,0.2500,2.000,1600,1656,197,550,16842,1524,31,88,0,121.896,1,350,1306,0,0,0,0,False,0,0,0,False,3,2,35,True,-0.000211,0.000103,0.999947,1.000026,0.996441,0.996389,0.000000,1.000000,0.000000,0.000000,0.994871,,
